"Source:","C:\Users\Informatic0re\Documents\workspace\ir-detector\motherboard\sensor-board.sch"
"Date:","07/06/2020 14:44:52"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","E:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Link","ManufacturerId"
"","","C1","100nF","Device:C","Capacitors_SMD:C_0603","~","https://www.mouser.de/ProductDetail/81-GCJ188R71C104MA1D","GCJ188R71C104MA01D"
"","","D1","LED","Device:LED","LEDs:LED_0603","~","https://www.mouser.de/ProductDetail/710-150060RS75000","150060RS75000"
"","","H1","MountingHole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3mm_Pad_Via","~","",""
"","","H2","MountingHole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3mm_Pad_Via","~","",""
"","","J1","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J2","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J3","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J4","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J5","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J6","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J7","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J8","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J9","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J10","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J11","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J12","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J13","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J14","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J15","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J16","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"","","J17","DNP","Connector:Conn_01x06_Male","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","",""
"","","R1","300","Device:R","Resistors_SMD:R_0603","~","https://www.mouser.de/ProductDetail/667-ERJ-3RBD3000V","ERJ-3RBD3000V"
"","","U1","MCP23017_ML","Interface_Expansion:MCP23017_ML","motherboard:QFN65P600X600X100-29N-D","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","","74438366015"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Link","ManufacturerId"
"1","1","C1","100nF","Device:C","Capacitors_SMD:C_0603","~","https://www.mouser.de/ProductDetail/81-GCJ188R71C104MA1D","GCJ188R71C104MA01D"
"2","1","D1","LED","Device:LED","LEDs:LED_0603","~","https://www.mouser.de/ProductDetail/710-150060RS75000","150060RS75000"
"3","2","H1, H2","MountingHole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3mm_Pad_Via","~","",""
"4","16","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16","S3B-PH","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","https://de.farnell.com/jst-japan-solderless-terminals/s3b-ph-k-s-lf-sn/stecker-seitlicher-eing-3kont/dp/9491910","S3B-PH-K-S (LF)(SN)"
"5","1","J17","DNP","Connector:Conn_01x06_Male","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","",""
"6","1","R1","300","Device:R","Resistors_SMD:R_0603","~","https://www.mouser.de/ProductDetail/667-ERJ-3RBD3000V","ERJ-3RBD3000V"
"7","1","U1","MCP23017_ML","Interface_Expansion:MCP23017_ML","motherboard:QFN65P600X600X100-29N-D","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","","74438366015"
