"Source:","C:\Users\Informatic0re\Documents\workspace\ir-detector\sensor\ir-detector.sch"
"Date:","07/06/2020 14:44:30"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","E:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"","","C1","104","Device:C","Capacitors_SMD:C_0603","~","","","","","","","","","","","",""
"","","C2","104","Device:C","Capacitors_SMD:C_0603","~","","","","","","","","","","","",""
"","","D1","LED","Device:LED","LEDs:LED_0603","~","","","","","","","","","","","",""
"","","D2","LED","Device:LED","LEDs:LED_0603","~","","","","","","","","","","","",""
"","","H1","M2","Mechanical:MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad_Via","~","","","","","","","","","","","",""
"","","IC1","LM393DR","LM393DR:LM393DR","ir-detector:SOIC127P600X175-8N","http://docs-emea.rs-online.com/webdocs/14b2/0900766b814b2f20.pdf","","","LM393DR","https://www.arrow.com/en/products/lm393dr/texas-instruments","LM393DR, Dual Comparator Open Collector 1.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 8-Pin SOIC","1.75","Texas Instruments","LM393DR","595-LM393DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393DR?qs=8k%2FZSzWMuCP%2FrtMSX0i7pQ%3D%3D","",""
"","","J1","Conn_01x03_Male","Connector:Conn_01x03_Male","Connectors_JST:JST_PH_S3B-PH-K_03x2.00mm_Angled","~","","","","","","","","","","","",""
"","","Q1","TCRT5000","TCRT5000:TCRT5000","ir-detector:TCRT5000","http://www.vishay.com/docs/83760/tcrt5000.pdf","http://www.alliedelec.com/vishay-dale-tcrt5000/R1084611/","R1084611","","","VISHAY - TCRT5000. - SENSOR, OPTICAL, TRANSISTOR O/P","6.8","Vishay","TCRT5000","782-TCRT5000","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/TCRT5000?qs=glpcD2KT6uaaYldHGIIt5g%3D%3D","7085017P","http://uk.rs-online.com/web/p/products/7085017P"
"","","R1","220","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","R2","10k","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","R3","1k","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","R4","10k","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","R5","330","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","R6","330","Device:R","Resistors_SMD:R_0603","~","","","","","","","","","","","",""
"","","VR1","TS53YL_10K_20%TR","TS53YL_10K:TS53YL_10K_20%TR","ir-detector:TS53YL204MR10","https://www.vishay.com/doc?51008","","","TS53YL 10K 20%TR","","Trimmer Resistors - SMD TS53YL103MR10","2","Vishay","TS53YL 10K 20%TR","75-TS53YL10K20%TR","https://www.mouser.co.uk/ProductDetail/Vishay-Sprague/TS53YL-10K-20TR?qs=fbr3QJcAB6rQumgcAWaZQw%3D%3D","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","2","C1, C2","104","Device:C","Capacitors_SMD:C_0603","~","","","","","","","","","","","",""
"2","2","D1, D2","LED","Device:LED","LEDs:LED_0603","~","","","","","","","","","","","",""
"3","1","H1","M2","Mechanical:MountingHole","Mounting_Holes:MountingHole_2.2mm_M2_Pad_Via","~","","","","","","","","","","","",""
"4","1","IC1","LM393DR","LM393DR:LM393DR","ir-detector:SOIC127P600X175-8N","http://docs-emea.rs-online.com/webdocs/14b2/0900766b814b2f20.pdf","","","LM393DR","https://www.arrow.com/en/products/lm393dr/texas-instruments","LM393DR, Dual Comparator Open Collector 1.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 8-Pin SOIC","1.75","Texas Instruments","LM393DR","595-LM393DR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393DR?qs=8k%2FZSzWMuCP%2FrtMSX0i7pQ%3D%3D","",""
